20140006,ランプ納品,2014/1/8,4,,
20140007,外灯ランプ取替,2014/1/8,22,,
20140008,アミパ新潟新装工事,2013/1/6,58,,
20140009,屋外灯光器ランプ取替工事,2014/1/16,57,,
20140011,ＬＥＤランプ納品,2014/1/7,59,,
20140012,２階アンテナ線修理,2014/1/10,60,,
20140013,若槻八十彦様邸新築そっくりさん工事,2013/12/20,6,2013/11/18,2014/3/29
20140014,ＤＡＭＺ県央店モニター取付工事,2014/1/22,31,,2014/1/24
20140015,１階事務室照明タイマー回路切替工事,2014/1/22,16,,2014/1/25
20140016,モスバーガー黒崎ＳＡ店食器洗浄機導入に伴う電気工事,2014/1/23,2,,
20140017,燕三条地場産業振興センターＬＥＤランプ不具合品交換【140052】,2014/1/8,53,,2014/1/28
20140018,メッセピア音響設備等点検,2014/1/20,5,,
20140019,リサーチコア音響設備等点検,2014/1/20,5,,
20140020,グラニフイオン新潟南店新装工事,2014/2/10,2,2014/2/13,2014/3/6
20140021,協和会レストラン新装工事,2014/2/10,2,2014/1/17,2014/3/7
20140022,うまいもの市電気設備工事,2014/2/1,38,2014/2/20,2014/2/24
20140023,発電機レンタル,2014/2/1,5,2014/2/20,2014/2/24
20140024,モスバーガー亀貝店厨房内コンセント増設工事,2014/1/15,2,,
20140025,鈴木様宅ユニットバス換気扇取替工事,2015/2/26,24,,
20140026,呼出放送設備工事,2014/2/14,59,,2014/2/28
20140027,ウォータークーラー取替工事,2014/1/28,3,,2014/3/3
20140028,長岡ＣｏＣｏＬｏインフォメーション,2014/2/26,2,2014/3/13,2014/3/14
20140029,新大病院美容室分ＣＶケーブル,2014/2/4,2,,
20140030,草水第３マンホール設備工事,2014/2/5,18,,
20140031,リサーチコア　ワイヤレス修理,2014/2/10,5,,
20140032,物産館照明安定器修理,2014/3/12,5,,
20140033,第２太平薬局エアコン取替工事,2014/3/11,16,,
20140034,職員室前廊下コンセント増設工事,2014/3/3,3,,2014/3/31
20140035,赤外線ワイヤレスマイク納品,2014/3/1,5,,2014/3/31
20140036,マイク混合器納品,2014/2/12,5,,
20140037,エアコン架台,2014/3/10,6,,
20140038,杉村消化器内科クリニック新装工事,2014/3/18,2,2014/3/24,2014/4/30
20140039,ＵＣＣカフェ万代店改装工事,2014/3/6,2,,2014/3/14
20140040,坂井様宅エアコン取替工事,2014/3/3,44,,2014/3/5
20140041,有線マイク納品,2014/3/20,5,,
20140042,ＢＳアンテナ取替工事,2014/3/24,61,,
20140043,倉庫内コンセント移設工事,2014/3/29,31,,
20140044,カーブドッチ新潟駅前店新装工事,2014/3/27,2,2014/5/2,2014/5/2
20140045,塚野目工場電話用増設ベル設置工事,2014/4/1,31,,
20140046,田代様宅改装工事,2014/4/7,6,,
20140047,高橋様宅換気扇電源工事,2014/4/1,24,,
20140048,中小企業大学校浄化槽制御盤内タイマ取替工事,2014/4/14,37,,
20140049,「一」プレハブ電源工事,2014/4/14,2,2014/3/21,2014/3/22
20140050,シエスタ様トイレ換気扇取替工事,2014/4/18,2,,
20140051,渡辺医院様居室改装工事,2014/4/7,44,,
20140052,展示即売場蛍光灯器具不点修理,2014/4/21,5,,
20140053,ファミールケティの店様蛍光灯安定器取替工事,2014/4/22,49,,2014/4/23
20140054,蛍光灯納品2014年5月分,2014/5/1,5,2014/5/1,2014/5/31
20140055,計器取付板納品,2014/5/9,24,,
20140056,萩原様宅エアコン取替工事,2014/5/1,24,,
